Date,Open,High,Low,Close,Volume
2020-06-18,86.5051,87.0066,85.9658,86.5839,98328662.417913
2020-06-17,87.4254,87.4872,86.4263,86.549,116188739.81538
2020-06-16,86.5171,86.9448,84.8581,86.6696,168005792.28662
2020-06-15,82.0338,85.0954,81.8683,84.4324,140971299.05458
2020-06-12,84.8581,85.6149,82.274,83.4007,203263944.15906
2020-06-11,85.9878,86.4204,82.5831,82.6878,204803969.28079
2020-06-10,85.6397,87.3306,85.1952,86.8561,169247869.36667
2020-06-09,81.7616,85.0785,81.7287,84.6777,150013438.64523
2020-06-08,81.297,82.1205,80.5732,82.0866,97144649.908657
2020-06-05,79.5983,81.6649,79.5683,81.6041,139388299.24948
2020-06-04,79.8534,80.1555,78.9651,79.343,88924384.587134
2020-06-03,79.9202,80.2981,79.338,80.0318,106118990.32619
2020-06-02,78.9571,79.6211,78.5106,79.5963,89008125.237303
2020-06-01,78.2194,79.35,78.0859,79.2284,82280726.631692
2020-05-29,78.5883,79.0559,77.9034,78.2663,155990895.72476
2020-05-28,77.9771,79.6211,77.697,78.344,135880705.87365
2020-05-27,77.8216,78.4577,77.0719,78.3091,114704565.53262
2020-05-26,79.6361,79.8175,77.9104,77.9672,127477207.35122
2020-05-22,77.7319,78.5833,77.6282,78.5006,83077351.117784
2020-05-21,78.4448,78.9931,77.7558,77.9971,104288541.04245
2020-05-20,77.9552,78.6531,77.8376,78.5833,113241895.6434
2020-05-19,77.5495,78.4108,77.052,77.0848,103314290.40615
2020-05-18,77.0918,77.9104,76.392,77.5325,137481345.31981
2020-05-15,73.9335,75.7968,73.9006,75.7489,168939767.44767
2020-05-14,74.9604,76.2594,74.2276,76.1966,161404887.34045
2020-05-13,76.8416,77.7758,74.6374,75.734,203747871.75312
2020-05-12,78.2393,78.695,76.5345,76.6571,164829391.04571
2020-05-11,75.8457,78.0459,75.6323,77.5445,148219805.31654
2020-05-08,75.2375,76.398,74.9055,76.3422,136136151.6686
2020-05-07,74.4419,74.9205,74.1329,74.5666,117326629.06664
2020-05-06,73.765,74.4469,73.3702,73.8069,144942340.74826
2020-05-05,72.437,73.8946,72.2905,73.0542,150459052.73027
2020-05-04,70.9914,72.1001,70.2916,71.9695,136015878.9266
2020-05-01,70.2756,73.4021,70.177,70.9656,245026539.64469
2020-04-30,71.1879,72.3055,70.7881,72.128,186418930.50805
2020-04-29,69.9007,71.1151,69.6944,70.6365,139796796.4644
2020-04-28,69.9865,70.173,68.2997,68.3923,114057488.81209
2020-04-27,69.1799,69.8549,68.7264,69.52,119233467.64555
2020-04-24,68.0514,69.48,68.0016,69.4701,128827287.86307
2020-04-23,67.7275,69.1681,67.4822,67.5211,127101830.85438
2020-04-22,67.1721,68.2239,66.8251,67.7813,119202705.09853
2020-04-21,67.8261,68.0634,65.1622,65.887,184308646.26339
2020-04-20,68.2369,69.1511,67.9647,67.9846,132397817.62458
2020-04-17,69.8909,70.4441,67.9667,69.4272,219194852.07071
2020-04-16,70.5498,70.7512,69.3156,70.3843,160004830.85475
2020-04-15,69.3275,70.2956,68.8948,69.828,133558265.47516
2020-04-14,68.7394,70.7641,68.2618,70.472,198568402.30493
2020-04-13,65.873,67.195,65.2599,67.0834,133424210.82321
2020-04-09,65.9648,66.3027,64.9858,65.7934,165087641.36907
2020-04-08,64.5023,65.6398,64.1294,65.3187,171990670.05495
2020-04-07,66.4812,66.7035,63.586,63.6897,206605691.20641
2020-04-06,61.5941,64.5929,61.2242,64.4374,205519093.93089
2020-04-03,59.6062,60.321,58.6681,59.2682,132260413.78797
2020-04-02,59.003,60.1845,58.1576,60.1306,168975082.83961
2020-04-01,60.5164,61.0597,58.7039,59.1456,179448151.79851
2020-03-31,62.7486,64.4424,61.8683,62.4265,200612509.30867
